# Correlations between TDD anomalies on April 15, and breakup day 
# For all selected sites and stations
# 
location,ALYESKA,ANCHORAGE_MERRILL_FIELD,ANCHORAGE_TED_STEVENS_INTERNATIONAL_AIRPORT,AUKE_BAY,BARROW_AIRPORT,BETHEL_AIRPORT,BETTLES_AIRPORT,BIG_DELTA_AIRPORT,CHICKEN,COLD_BAY_AIRPORT,COLLEGE_OBSERVATORY,CORDOVA_AIRPORT,DUTCH_HARBOR,EAGLE,FAIRBANKS_INTL_AP,GULKANA_AIRPORT,HAINES_AIRPORT,HOMER_AIRPORT,ILIAMNA_AIRPORT,JUNEAU_AIRPORT,KENAI_AIRPORT,KETCHIKAN_AIRPORT,KING_SALMON_AIRPORT,KODIAK_AIRPORT,KOTZEBUE_AIRPORT,MCGRATH_AP,MCKINLEY_PARK,NENANA_MUN_AP,NOME_AIRPORT,NORTHWAY_AIRPORT,NORTH_POLE,SAINT_PAUL_ISLAND_AIRPORT,SITKA_AIRPORT,SKAGWAY_AIRPORT,TALKEETNA_AIRPORT,TANANA_AIRPORT,YAKUTAT_AIRPORT
Buckland River at Buckland,0.20023816816956602,0.7196815506963515,0.23222290934204054,0.9087203533175242,1.0,0.04035622855398979,0.5949758489173422,0.08292313948619179,0.39052639846648013,0.060352996103531814,0.05342027100196347,0.08373533938091661,0.1025704186989938,0.16302744012383552,0.03469309355122995,0.0677813830328342,0.46253681164603533,0.12227654025657672,0.11608118153886253,0.7094072594446644,0.0810499510854262,0.343687484550488,0.09326538253783744,0.1686838026941311,0.78427728497529,0.06895941854892675,0.061986714896715964,0.14717302721625816,0.44325223824213517,0.04594555472915909,0.0859798329729411,0.22954828910329247,0.3871771998928946,0.34577696188026086,0.08154464652330032,0.47502061342547663,0.2013950280282072
Chena River at Fairbanks,0.05545243812260292,0.07635324503841157,0.012411042235543438,0.06641568044204826,1.0,0.021534092486794998,0.2761489933454752,0.006839453071775254,0.1279478742516918,0.03641594561094826,0.00017220231659869026,0.015151293009005085,0.30351606316444235,0.053631718639185144,0.0002280188140169182,0.0509983861633399,0.06817080446851329,0.058932229262085405,0.043837301069879195,0.04298227406713105,0.02877741221736824,0.15881927471129634,0.005950246399044723,0.0409007820787635,0.5303044782194211,0.0032045352320969455,0.05525558691876583,0.032048303140286206,0.010969964431139352,0.20817225930034305,0.0012293605549500875,0.3787105529146038,0.02945162153861867,0.07914130996215141,0.010875933301716257,0.05739494749277619,0.06633470158437516
Chisana River at Northway,4.892351894337843e-07,9.901380057493136e-06,5.999157374758972e-07,0.0073672970056815,1.0,0.0003683453259485637,0.05374304159760636,1.7632854675727923e-05,8.932832132341574e-06,0.007974018647041179,6.966039063007755e-07,0.000220467134583002,0.14868180517547638,1.4577447015805922e-05,2.9321449750465476e-08,4.740094541527816e-07,0.00033077315012534816,2.462105388394838e-05,1.5670249576677197e-05,0.00037376797036588704,0.00013011048584248428,0.00010218132125766777,9.002738477540035e-06,0.0035630188647486493,0.0740157825843986,0.00018008286843778216,1.0038180570611789e-05,0.0004514977852096021,0.03924868021117138,6.680730903048406e-06,8.489446492534746e-07,0.05160027130677622,0.000677650051245981,1.2470395873028834e-05,2.1805182027410143e-07,0.005923409574947726,0.001339872265518708
Gakona River at Gakona,0.26621906354304975,0.5368549252052914,0.15450701373702921,0.24606473830862258,1.0,0.5337065370308812,0.927682366659698,0.511205438039431,0.6517281067265924,0.26648298034020673,0.21163818174149665,0.12002363690707256,0.18665946961582638,0.4621691237621901,0.1875777060861833,0.36841597344272164,0.290594655555215,0.2189299561472368,0.3564106113273498,0.38747372397560303,0.14619503800698858,0.5175592979146406,0.19627197922262704,0.30793282344619044,0.8309753229518712,0.2547082304587321,0.4415413846798265,0.23964060947094715,0.9871342159771254,0.25733296683533424,0.18296451195970825,0.05653194068427504,0.19074211417834913,0.4347970362508647,0.045725482126235964,0.5241497844818759,0.27825466301288493
Gulkana River nr Gakona,0.4442110813663271,0.6026949334599752,0.31414456129475965,0.6604854667789375,1.0,0.8291461624026102,0.5730325265543712,0.3334625731357712,0.4260438795060141,0.18452311773447633,0.22648011802712575,0.29736522068578125,0.2077993952856522,0.8181662792659457,0.18862187760819682,0.15027236942510136,0.33495345164582685,0.5317984669563531,0.5681949130539393,0.6182252545229644,0.6270011088825315,0.7637712474833965,0.35850819151031094,0.4006954478218083,0.9009828296274071,0.25735913749045747,0.3094501827038438,0.30174813571510756,0.9205449864409262,0.017863111719228875,0.09514609367314682,0.06419527017883632,0.7368819451341686,0.37659883859463894,0.1149492029048694,0.5091373266367644,0.7326025552375827
Kobuk River at Ambler,0.11118421985558345,0.2777989849761306,0.02458857679635146,0.6829724967268028,1.0,0.023772672044524743,0.4511068270931347,0.0112616035458188,0.07928564071210417,0.06495113402111564,0.05325696489215654,0.0454342581242117,0.05304183159071002,0.034604145736477424,0.007634087656890147,0.0036361481644946966,0.20593135819538277,0.02093630053346687,0.04161745272352719,0.23568531138264376,0.008055453981313394,0.18162817966800773,0.02354943749638042,0.05797791840019873,0.5313573449972528,0.19935323213729114,0.014386699102407238,0.14958008932642838,0.2734207609068862,0.007647389427043596,0.09152772165690085,0.3267261235491716,0.11628112141254418,0.035244679597406035,0.019674822296611615,0.4974584123310104,0.07120232043209647
Kobuk River at Kobuk,0.1441501948376979,0.32059858739663066,0.14286631704558403,0.8035828515535689,1.0,0.051469879499125286,0.7066848845921797,0.060124161685143826,0.18685348914061192,0.3479613775592448,0.07205674279928463,0.06498425365893752,0.3709859550734028,0.015007808848911156,0.019591944127464088,0.046306826479234085,0.34126026849830154,0.10187916553293422,0.18693434988018878,0.3595085043544735,0.015292282114798742,0.24550592640759408,0.16270531050856488,0.24630553789128132,0.9952138884026257,0.08003459678443313,0.11469151408271124,0.14599916177391298,0.4930746441141524,0.0291837290261006,0.11314199756339617,0.4904324544342717,0.1966030028319514,0.21207089871495646,0.0244198610775551,0.3222219316914025,0.1169877444353654
Kobuk River at Shungnak,0.1539494541305667,0.2224070290603071,0.1667559818062414,0.7068058675526915,1.0,0.04984820265381807,0.029418211010013576,0.0022706979983431463,0.0853322330275736,0.23713179239077115,0.009321544707866041,0.07814762248375742,0.10013290738138007,0.04394972056303385,0.003312499619187808,0.024997253776100507,0.23883682472547715,0.12629790247809708,0.21307830524976487,0.3841874131965602,0.013894780179449139,0.2551079843000946,0.18650627297121178,0.15184932083116862,0.19766170984291498,0.04154571918504623,0.01853313848062382,0.040071208663069444,0.5015858557275832,0.00822170361601831,0.008613564629732546,0.2462751265349562,0.21274517033115983,0.0880450665690291,0.014312984190297782,0.0873052860424948,0.1806207680456819
Koyukuk River at Allakaket,0.04088012814253306,0.28866621033680034,0.03271477813453837,0.669996240532301,1.0,0.023460979011922144,0.3596451582185075,0.03461197897686269,0.24658123893936792,0.250243925126076,0.11132024862637793,0.019378016466545182,0.36648299350738844,0.0031763499126382486,0.018167970694378765,0.04094817939783486,0.27222967862346725,0.030729573275356484,0.05228258233009943,0.19717005067244495,0.0018434842335429856,0.21762457159180248,0.06932599933712581,0.14493300848529211,0.19529780731769195,0.14441922944628305,0.024535935142955462,0.06119228375369019,0.14360290607497042,0.07647834357215376,0.17018216671816455,0.5535612719204653,0.1378709178419198,0.10172856904542327,0.029242650112804015,0.2934076790639979,0.10594302230616508
Koyukuk River at Bettles,0.18265941370615935,0.48872574333954005,0.4016984512347511,0.8124933969376906,1.0,0.18279107628673272,0.1231970390314775,0.30370203859655565,0.48738281022060853,0.9251594594738612,0.18416431053722884,0.13651657764251163,0.6573642429346468,0.06909522087873252,0.052185360867820794,0.34471328150567704,0.4908105682652808,0.2726242766329958,0.3403623605810007,0.616052150153945,0.022125286278597958,0.3271638075870951,0.3306535039098476,0.3610576767992661,0.2325054539656692,0.1963071428820497,0.4499983828640102,0.5376254902481878,0.3054681381992429,0.20195536201165964,0.2825110001406615,0.8471230378942248,0.35496495637689246,0.3448260286097053,0.2295127290893042,0.33757771850370355,0.35625189604922897
Koyukuk River at Hughes,0.0915059355381745,0.39928879498315956,0.0867516322798999,0.7893799290099416,1.0,0.06434768505988138,0.21453340057220455,0.1229781799271042,0.30358595764737323,0.7300102369154632,0.10503237616410775,0.04074736678325587,0.4017875497380808,0.038781234988390305,0.020356013929990233,0.13700178341229285,0.22819361701225127,0.11119363717628272,0.2247237575395748,0.19710433207239858,0.025326913225985435,0.2551917948680181,0.16118911828094878,0.402812513237365,0.26097897301826495,0.10988875241714054,0.19583588423573503,0.23831072435782247,0.10877336016093063,0.11776225993966492,0.14909033018490564,0.87371335743075,0.15485445261314856,0.13271245605008541,0.04503676233278133,0.2707554195805724,0.17201313468369764
Kuskokwim River at Akiak,0.00021887449964234074,0.0044526521239691644,5.595934659950168e-05,0.32422225088183004,1.0,3.1034462318786653e-08,0.03469226741837925,7.774235948638477e-05,0.0014756198316016587,0.0032911255131811016,1.9509773035795782e-05,0.00012621420036630136,0.08046810947619831,1.2113285848998139e-05,6.424109535958075e-06,0.00026889648362834903,0.02335173620321897,0.00046125487733450607,4.9367867281766806e-05,0.02098435484026962,0.00016337919477853627,0.007704915887509686,5.854057396051838e-06,0.0035894630463077486,0.03455383732219969,5.141503450682841e-06,1.591825280775029e-05,0.0022389107057391674,0.0005762826177551835,0.00022186035719434538,2.7595459673182523e-05,0.016571318291324022,0.004016660081413777,0.002458170344141262,1.4626801532964798e-06,0.003996328750184063,0.0016942050196865283
Kuskokwim River at Aniak,0.0007598985445945102,0.01739801130911321,0.0017710925356082185,0.4082931266507881,1.0,2.4310180114708215e-06,0.02168234719503642,0.0003681392288839023,0.004680688529140509,0.012143013896217811,1.810511320260764e-05,0.0015371195991201137,0.047975774408222815,0.00020342105282137503,1.0965778170016832e-05,0.0018006805551627062,0.0713147362213265,0.0026305571018151197,0.0008597830000593632,0.038735378132272125,0.0010617559911838836,0.04179360675079055,0.00019264150328222364,0.011893705082083803,0.19523827079915995,3.227854886532579e-05,0.00046282436867167134,0.026795004637937016,0.005697092315075131,0.0012222218865854601,7.301563426872007e-05,0.1391421963686751,0.015339967533272526,0.012118557726610692,2.459156809466178e-05,0.003849316508162099,0.00616124439196782
Kuskokwim River at Bethel,1.4442853419779144e-05,0.0011448872477294162,3.1319958806478504e-05,0.24633551652334837,1.0,2.2357534746639757e-10,0.1801616806153258,2.548894196245415e-06,0.0002822823130875687,0.0004070407632665235,2.694705622321212e-06,9.852663027558702e-05,0.03465652631973404,6.776803699910358e-07,4.302446343141848e-07,9.333849710855297e-06,0.012738533768469758,2.53463688589436e-05,3.5298744646132874e-06,0.014925804405772803,2.913372867429999e-05,0.008866661817148644,2.5232877127626028e-06,0.0014639806916823298,0.05651094537025428,4.10533281484019e-05,7.394043470093689e-08,6.207225649180952e-05,0.005426047162310341,1.1249514865379172e-06,1.1849996953842478e-06,0.00259517963231967,0.00213292652471708,0.002091901716768269,1.9180118187002164e-07,0.01963746723448409,0.00036132066724270986
Kuskokwim River at Crooked Creek,0.0030640259752354286,0.00971765182001204,0.008570734273637862,0.8631455260879648,1.0,0.00022585980268142425,0.11354141461416635,0.005528020654096589,0.01487173026605766,0.004424274023459893,0.0002695459195645268,0.007306908497072947,0.018929837189772997,0.002835823706014723,0.00025366218865027827,0.010461701652479304,0.0896327097817202,0.005448324550368388,0.001632292882456515,0.20846635039347358,0.0016830517568562971,0.05380317681235203,0.0005540563469804919,0.008482968852345061,0.25997172532913637,2.5653423417606488e-05,0.003815647997500615,0.02082798830987545,0.0800699994606739,0.0014146223336598172,0.0012725494453269095,0.002034371566350923,0.039736761774756865,0.041934413360006806,0.0004974214956398465,0.03152978388570243,0.028725813395977823
Kuskokwim River at Kalskag,0.0007052271936084539,0.003071667475087573,0.0001956601682814841,0.14048335767268197,1.0,4.802993189706349e-06,0.02451152754516925,0.00013420156861708167,0.0014528290560126141,0.008379594001057616,1.0057968008182169e-05,0.00026703706247161206,0.3484095518200457,0.00011968987999510655,7.674864672184469e-06,0.0007157859361136677,0.005245970295007919,0.0010740404557936687,5.444428056033928e-05,0.003222931613059697,9.937444322143866e-05,0.0007903246272920545,5.264929604710473e-06,0.0007455592384161798,0.07333901029133061,3.017328707126256e-06,0.00010132801729183873,0.007091322332640485,0.001158628568137864,0.0010709040170901562,3.113962809289371e-05,0.12643388876685643,0.0013671820233833877,0.0005541554836065316,4.856706607026685e-06,0.0021735919121834224,0.001115153433849817
Kuskokwim River at McGrath,0.0012665588944015247,0.018050219177493946,0.00608980005742432,0.21375391906715002,1.0,0.0001218472006431616,0.00811124121220299,5.155178545743185e-05,0.015201882547636117,0.05699000272314019,1.1339601398918611e-05,0.0028918636204985455,0.1784629305551429,0.0002097495304600898,5.3036405354876035e-06,0.0028870875396507967,0.06422195489746813,0.007621799988226522,0.0028861974580792677,0.06543765144350074,7.232294311634881e-05,0.06613808985871814,0.003163273748076748,0.027554018132076728,0.011727950469552271,1.8422852418684454e-05,0.0004625773272819104,0.005970847474420428,0.010696666955917032,0.0016947938505465071,2.6241768436184803e-05,0.1708496531250626,0.02931051658536528,0.028337192005771287,7.273351553574719e-05,0.0019083684388976467,0.008038182965095994
Kuskokwim River at Nikolai,2.862520921861225e-06,1.1925135473315888e-05,4.3675824684603035e-05,0.008642766864562954,1.0,3.6250696709736175e-05,0.03313377141943701,2.9860391300516907e-08,0.00015947284250973173,0.00721263281518187,7.448643615433439e-09,6.611404196728071e-05,0.12635989869753217,4.429887327672404e-06,1.7581571428855938e-08,1.244536723679211e-05,0.002598228103118799,7.975051816852633e-05,1.1519148301196924e-05,0.0026939308492611256,4.869230697448996e-07,0.006547094552675789,0.00011080623084390772,0.0003879217005964448,0.0863485319647456,1.4051298776186423e-06,3.4612846455854237e-06,9.687888591351063e-06,0.04746833620188942,8.332386814610207e-05,2.199240488876265e-08,0.0262044104625523,0.0018113696793712606,0.0024147547408917736,5.1621245411929035e-08,0.001160778254039781,0.00012249295081887657
Kuskokwim River at Red Devil,0.0032305468598666587,0.030706854726860817,0.006376643307326773,0.7550619160606966,1.0,0.0002707953563287878,0.1034229524312612,0.004469628246588302,0.02032418853870561,0.012691753208624593,0.00013497201453455026,0.0049404416427391564,0.07664859417787924,0.002271377202693482,9.149278302110592e-05,0.0024803851583284644,0.0977906363209358,0.005429587292766792,0.0015663312041725142,0.13577656066217703,0.0005296221004788035,0.027781692884067104,0.0007584676813149655,0.0059248214222088,0.14537831882913105,4.219781611742355e-05,0.0032012781096821172,0.019293410094939546,0.06068302015584918,0.000879971088898509,0.0009870882110460384,0.011586628888625678,0.024729177546692634,0.03949464644197645,0.00010254739548378803,0.02055416474405963,0.014922405629507958
Kuskokwim River at Sleetmute,0.004038074464009568,0.005529209959122543,0.012079453173878311,0.8436796776161068,1.0,0.0005318787676207501,0.008388502543370964,0.0005161113796754231,0.005390636919351506,0.01758550213440242,1.8406672072901278e-05,0.019605408669061623,0.23110452332771034,0.0005292580479075085,2.6198858917752513e-05,0.0020593352880450833,0.13302506300669356,0.015190940577833939,0.0027931579041168856,0.13625988360741373,0.000902658756519017,0.0736616601417363,0.0014081136945964428,0.003941976883859627,0.07807333030852799,4.9811187461282636e-05,0.002510406046413135,0.02176817531741113,0.07173089013781217,0.0009596481404072738,6.437201096069379e-05,0.062467745680842034,0.08197338364185862,0.027840814098226335,0.0002245875926552682,0.004489269655445849,0.02919458088157477
