station_name,,,,
ADAK_AP,30,26,27,25
ALYESKA,21,8,12,2
ANAKTUVUK_AUTO,43,43,30,30
ANCHORAGE_MERRILL_FIELD,27,18,15,7
ANCHORAGE_TED_STEVENS_INTERNATIONAL_AIRPORT,0,0,0,0
ANNEX_CREEK,31,23,21,16
ATKA_AP,43,43,30,30
AUKE_BAY,24,3,14,1
BARROW_AIRPORT,0,0,0,0
BARTER_ISLAND_WSO_AP,34,34,30,30
BETHEL_AIRPORT,3,0,3,0
BETTLES_AIRPORT,4,1,2,0
BIG_DELTA_AIRPORT,8,5,5,4
CHICKEN,28,20,17,9
CIRCLE_HOT_SPRINGS,35,31,23,20
COLD_BAY_AIRPORT,1,0,1,0
COLLEGE_OBSERVATORY,24,4,16,4
CORDOVA_AIRPORT,4,0,1,0
CRAIG,30,25,19,14
DUTCH_HARBOR,37,21,24,8
EAGLE,29,5,19,2
FAIRBANKS_INTL_AP,0,0,0,0
GALENA_AIRPORT,34,26,29,24
GENNALLEN_KCAM,34,20,25,14
GILMORE_CREEK,36,25,24,15
GULKANA_AIRPORT,7,1,3,1
GUSTAVUS,33,25,20,14
HAINES_AIRPORT,14,9,11,7
HOMER_AIRPORT,2,1,2,1
HOONAH,34,25,21,15
HYDER,38,32,26,20
ILIAMNA_AIRPORT,12,3,6,2
JUNEAU_AIRPORT,0,0,0,0
KALTAG_AIRPORT,29,25,16,13
KENAI_AIRPORT,8,1,4,0
KETCHIKAN_AIRPORT,12,8,2,0
KING_SALMON_AIRPORT,0,0,0,0
KODIAK_AIRPORT,0,0,0,0
KOTZEBUE_AIRPORT,1,1,1,1
LITTLE_PORT_WALTER,39,15,28,14
MCGRATH_AP,3,1,0,0
MCKINLEY_PARK,23,2,14,1
NENANA_MUNICIPAL_AIRPORT,33,24,21,13
NENANA_MUN_AP,31,19,19,9
NOME_AIRPORT,0,0,0,0
NORTHWAY_AIRPORT,4,1,1,0
NORTH_POLE,29,4,17,2
PELICAN,26,17,18,13
PETERSBURG_1,31,22,18,12
POINT_LAY,41,40,29,29
PORTAGE_GLACIER_VISITOR_CENTER,28,24,16,12
PUNTILLA,40,28,28,20
SAINT_PAUL_ISLAND_AIRPORT,2,2,1,1
SAND_POINT_AP,43,41,30,29
SITKA_AIRPORT,4,0,2,0
SKAGWAY_AIRPORT,16,11,7,6
SKAGWAY,29,25,18,14
SNETTISHAM_POWER_PLANT,35,28,24,17
TALKEETNA_AIRPORT,0,0,0,0
TANANA_AIRPORT,10,3,5,1
WHITE_MOUNTAIN,43,42,30,30
WISEMAN,39,28,28,17
WRANGELL_AP,34,23,21,14
YAKUTAT_AIRPORT,1,0,1,0
*ANCHORAGE_ELMENDORF_AFB,39,29,27,25
*FORT_YUKON,43,39,30,30
*MCCARTHY_3_SW,31,16,18,9
*PORT_HEIDEN_AP,43,41,30,30
*VALDEZ_MUNICIPAL_AP,42,41,29,28