,name,acisID,icao,longitude,latitude,elev_ft,valid_avgT_start,valid_avgT_end,valid_snowdepth_start,valid_snowdepth_end
209,FLAT ALASKA,65693,,-156.61391,62.8228,1480.0,1996-08-28,2023-12-26,,
210,FORT KNOX MINE,29085,,-147.34081,65.0033,1621.0,2000-05-01,2025-03-16,1997-12-01,2010-12-31
211,FORT RICHARDSON WATER TREATMENT PLANT,21204,,-149.65041,61.2272,470.0,1990-05-01,2025-03-17,1990-05-01,2025-03-17
212,FORT YUKON,29455,PFYU,-145.26666,66.56667,445.0,1899-01-01,2025-03-16,1899-01-01,1990-03-31
213,FORT YUKON,77602,,-145.25,66.57,430.0,2002-09-25,2025-03-15,,
214,FORT YUKON #2,40897,,-145.26556,66.56639,438.0,2010-08-12,2014-10-15,2010-08-12,2014-10-15
215,FORTY MILE RIVER AT TAYLOR HIGHWAY,40927,,-141.40889,64.30861,1252.0,2002-11-07,2017-12-20,2002-11-08,2007-11-10
216,FOURPEAKED ALASKA,82908,,-153.5181,58.7058,1074.0,2009-06-09,2025-03-16,,
217,FOX 2 SE,28888,,-147.6261,64.9591,775.0,1999-04-01,2022-08-31,1996-12-01,2022-08-31
218,FT. YUKON ALASKA,82975,,-145.25079,66.57,465.0,2005-12-31,2024-09-14,,
219,FUNNY RIVER,31572,,-150.80556,60.48222,275.0,2003-05-24,2010-10-31,2003-08-01,2010-10-31
220,FUNTER BAY,21147,PANR,-134.89999,58.25,30.0,1980-02-04,1996-06-30,1980-02-04,1996-06-30
221,Fairbanks Area,32722,,,,,1904-09-04,2025-03-16,1904-09-04,2025-03-16
222,GAKONA 10NE,33755,,-145.13251,62.39139,1850.0,2007-10-01,2009-10-05,2007-10-01,2009-10-31
223,GALENA,28889,,-156.8755,64.7408,152.0,1996-09-18,2025-03-02,1996-09-25,2025-03-02
224,GALENA 44 SW,109927,,-158.08479,64.3433,131.0,2024-12-06,2025-03-17,,
225,GALENA AIRPORT,29823,PAGA,-156.93443,64.73667,153.0,1942-10-01,2025-03-16,1942-10-01,1993-09-30
226,GATES GLACIER ALASKA,83138,,-143.01311,61.6028,4060.0,2004-12-05,2025-03-16,,
227,GEORGE CREEK ALASKA,65697,,-144.3503,63.8375,1525.0,1999-08-05,2025-03-16,,
228,GILMORE CREEK,20963,,-147.5211,64.9766,945.0,1962-10-01,2025-03-17,1966-02-01,2025-03-17
229,GIRDWOOD WWTP,20682,KAQY,-149.15919,60.94889,43.0,2019-08-08,2024-05-30,2019-08-01,2024-03-31
230,GLACIER BAY,20565,,-135.8692,58.4561,45.0,1966-01-01,2025-02-28,1966-01-01,2025-02-27
231,GLACIER BAY INNER DOCK,82771,,-135.86971,58.4564,34.0,2016-01-01,2025-03-16,,
232,GLEN ALPS,20695,,-149.6936,61.1,2202.0,1971-01-29,2016-09-30,1971-01-29,2016-09-30
233,GLENNALLEN 64 N,79408,,-145.50031,63.0295,2669.0,2013-08-10,2025-03-17,,
234,GLENNALLEN KCAM,20820,,-145.5331,62.1086,1383.0,1965-12-16,2025-03-17,1965-12-16,2025-03-17
235,GOBBLERS KNOB,77636,,-150.67,66.75,2030.0,1997-07-15,2025-03-15,,
236,GOLD KING ALASKA,65818,,-148.4622,64.4044,556.0,2003-07-29,2025-03-16,,
237,GOLDSTREAM CREEK,40987,,-147.87531,64.8938,577.0,2009-12-01,2025-03-17,2009-12-01,2025-03-17
238,GOLOVIN AIRPORT,20932,PAGL,-163.00716,64.55044,25.0,2019-12-11,2025-03-15,,
239,GOODPASTURE ALASKA,65700,,-145.26691,64.2381,1520.0,1996-07-29,2025-03-16,,
240,GRANDVIEW,77615,,-149.06,60.61,1100.0,1991-09-30,2025-03-15,,
241,GRANITE ALASKA,65703,,-149.287,60.7275,512.0,1997-05-08,2025-03-16,,
242,GRANITE CRK,77597,,-145.39999,63.94,1240.0,1991-08-19,2025-03-15,,
243,GRAPHITE LAKE ALASKA,65701,,-143.28329,67.0333,850.0,1991-06-24,2023-09-19,,
244,GREZELKA RANGE ALASKA,82877,,-149.6167,61.2833,2500.0,2004-12-05,2022-10-20,,
245,GROUSE CREEK DIVIDE,77618,,-149.34,60.26,700.0,1997-08-23,2025-03-12,,
246,GULKANA AIRPORT,20825,PAGK,-145.45885,62.15914,1578.0,1909-02-08,2025-03-16,1909-02-08,2001-07-31
247,GUSTAVUS,29574,PAGS,-135.70889,58.4111,40.0,1923-04-01,2025-03-17,1923-04-01,2025-03-17
248,GUSTAVUS 2 NE,67800,,-135.69,58.4292,20.0,2012-07-20,2025-03-17,,
249,Gulkana Area,32736,,,,,1909-09-01,2025-03-16,1909-03-01,2001-07-31
250,HAIDA ALASKA,65706,,-132.6983,55.3503,1500.0,1989-09-25,2025-01-02,,
251,HAINES #2,31090,,-135.46634,59.23172,98.0,2000-05-01,2025-03-17,2000-05-01,2025-03-17
252,HAINES 40NW,21201,,-136.3615,59.4503,820.0,1989-09-01,2025-03-17,1989-09-01,2025-03-17
253,HAINES AIRPORT,29837,PAHN,-135.51138,59.24287,21.0,1911-08-08,2025-03-16,1911-11-16,2001-06-30
254,HALIBUT COVE,20605,,-151.16667,59.6,30.0,1975-09-01,1998-01-31,1975-09-01,1998-01-31
255,HARDING ICEFIELD ALASKA,82924,,-149.7986,60.1489,4200.0,2004-07-14,2025-01-06,,
256,HARDING LAKE NE,80187,,-146.8152,64.4391,740.0,2016-02-03,2018-05-15,2016-02-03,2018-05-15
257,HAYCOCK ALASKA,65709,,-161.155,65.2017,177.0,1988-05-22,2025-03-16,,
258,HAYES RIVER,21146,,-152.07584,61.98722,1000.0,1980-11-01,2011-01-26,1980-11-01,2011-01-26
259,HEALY,20897,,-148.9436,63.84528,1244.0,1920-03-01,2010-10-06,1920-02-01,2010-10-06
260,HEALY,20899,,-148.99429,63.8674,1417.0,1976-11-05,2017-02-28,1976-11-06,2017-02-28
261,HELM ALASKA,65713,,-131.3661,55.5297,1400.0,1989-09-25,2025-03-16,,
262,HELMUT MOUNTAIN ALASKA,65711,,-144.1225,67.7414,2800.0,1988-09-23,2025-03-16,,
263,HIDDEN FALLS HATCHERY,21212,,-134.87691,57.2177,22.0,1992-10-01,2025-03-17,1992-10-01,2025-03-17
264,HODZANA ALASKA,65714,,-148.6767,66.7417,1075.0,1991-06-10,2025-03-16,,
265,HOGATZA RIVER ALASKA,65715,,-155.6667,66.2167,685.0,1988-05-20,2025-03-16,,
266,HOLLIS,20478,PAHS,-132.62219,55.4909,30.0,1950-05-09,2017-08-31,1949-05-06,2017-10-11
267,HOMER 13 NE,31469,,-151.21028,59.76222,1405.0,2002-12-01,2005-10-31,2002-12-01,2005-10-31
268,HOMER 17 E,21207,,-151.16667,59.76667,1000.0,1991-02-01,2017-12-20,1991-02-01,1991-04-30
269,HOMER 2NW,31593,,-151.56361,59.66583,1015.0,2003-08-01,2004-10-31,2003-08-01,2004-10-31
270,HOMER 8 NW,20615,,-151.6347,59.7444,1080.0,1977-10-02,2021-12-07,1977-10-01,2021-12-07
271,HOMER 9 E,21191,,-151.32556,59.71611,512.0,1988-08-01,2011-10-31,1988-08-01,2011-10-31
272,HOMER AIRPORT,20608,PAHO,-151.49098,59.64196,63.0,1932-09-01,2025-03-16,1932-09-01,1997-11-30
273,HOMER ALASKA,65716,,-151.2083,59.7458,715.0,1998-05-26,2024-09-21,,
274,HOODOO HILL ALASKA,65718,,-163.4081,65.5858,1550.0,1992-06-16,2021-11-29,,
275,HOONAH,20547,,-135.4277,58.1071,130.0,1941-05-09,2025-03-17,1941-06-01,2025-03-17
276,HOONAH ALASKA,65717,,-135.1333,57.8,450.0,1989-09-26,2025-03-16,,
277,HOPE,20679,,-149.6286,60.8983,180.0,1979-03-01,2012-06-30,1979-03-01,2012-01-25
278,HOUSTON,21160,,-149.80112,61.63111,270.0,1984-11-01,2020-08-25,1984-11-01,2020-06-30
279,HOWARD PASS ALASKA,82892,,-156.8958,68.1561,2062.0,2013-07-18,2025-03-16,,
280,HUSLIA 27 E,114109,,-155.4761,65.6582,207.0,2024-12-06,2025-03-17,,
281,HUSLIA AP,32036,PAHL,-156.35139,65.69778,180.0,2024-05-20,2025-03-16,,
282,HYDABURG SEAPLANE BASE,33044,PAHY,-132.82831,55.20631,,2020-02-02,2025-03-16,,
283,HYDER,31580,,-130.02592,55.9158,80.0,1936-10-01,2023-03-01,1936-11-01,2023-03-01
284,Homer Area,32749,,,,,1932-09-01,2025-03-16,1932-09-01,1997-11-30
285,IGLOO LODGE,31256,,-149.77779,63.16389,2160.0,2001-08-01,2003-07-31,2001-08-01,2003-07-31
286,ILIAMNA AIRPORT,20618,PAIL,-154.90903,59.74922,152.0,1920-04-01,2025-03-16,1920-02-11,1997-11-30
287,ILLINOIS CREEK,21208,,-157.83333,64.05,980.0,1991-02-01,2004-11-30,1991-04-01,2004-11-30
288,IMELYAK ALASKA,82934,,-157.0692,67.5461,3569.0,2012-08-03,2025-03-16,,
289,IMNAVIAT CREEK,77624,,-149.3,68.62,3050.0,2006-09-30,2025-03-15,,
290,INDEPENDENCE MINE,77623,,-149.28,61.79,3550.0,1998-10-13,2025-03-15,,
291,INDIAN PASS,77621,,-149.48,61.07,2350.0,1981-09-30,2025-03-15,,
292,INIGOK AIRFIELD ALASKA,82933,,-153.0836,70.0036,168.0,2012-08-21,2025-03-16,,
293,INNOKO FLATS ALASKA,65725,,-158.8167,63.39,930.0,1988-03-31,2025-03-16,,
294,INTRICATE BAY,20606,,-154.49834,59.555,120.0,1959-08-01,2006-07-31,1959-08-01,2006-07-31
295,IVOTUK 1 NNE,79883,,-155.7506,68.4851,1909.0,2014-06-19,2023-04-06,,
296,JARVIS CREEK ALASKA,82886,,-145.6189,63.9486,1426.0,2009-06-19,2025-01-30,,
297,JATAHMUND LAKE ALASKA,65727,,-142.0833,62.6,2300.0,1990-07-02,2024-10-15,,
298,JBER ALASKA,83022,,-149.6503,61.3819,262.0,2012-10-02,2025-03-16,,
299,JOHNSON'S CAMP,77647,,-164.28999,64.56,25.0,2002-08-14,2025-03-15,,
300,JUNEAU AIRPORT,20559,PAJN,-134.55606,58.354,19.0,1936-11-01,2025-03-16,1936-11-01,2025-03-16
301,JUNEAU DOWNTOWN,29841,,-134.4111,58.2988,50.0,1890-01-01,2021-09-30,1890-01-05,2021-09-30
302,JUNEAU FORECAST OFFICE,31193,,-134.5694,58.4002,106.0,2001-12-01,2025-03-16,2001-12-01,2025-03-16
303,JUNEAU LEMON CREEK,31850,,-134.47945,58.35444,159.0,2003-12-09,2009-10-31,2003-12-09,2009-10-31
304,JUNEAU LENA POINT,31020,,-134.76579,58.3869,35.0,2000-01-01,2025-03-16,2000-01-01,2025-03-16
305,JUNEAU MILE 17,31194,,-134.7468,58.4058,245.0,2001-03-01,2013-07-31,2001-03-01,2013-07-31
306,JUNEAU OUTER POINT,31246,,-134.67529,58.2944,45.0,2001-07-01,2016-10-09,2001-07-01,2016-10-09
307,JUNEAU RD ALASKA,65729,,-134.57111,58.3622,25.0,1997-04-09,2005-03-30,,
308,Juneau Area,32772,,,,,1943-07-01,2025-03-16,1943-07-01,2025-03-16
309,KACHEMAK CREEK,77628,,-150.66,59.73,1660.0,2003-09-30,2019-05-29,,
310,KAIYUH ALASKA,65730,,-158.1058,64.4256,110.0,1997-08-25,2025-03-16,,
311,KAKE,35085,,-133.89999,56.96667,70.0,1919-05-01,1991-05-04,1919-05-01,1992-04-30
312,KAKE ALASKA,65731,,-133.66,56.9739,400.0,1989-09-25,2024-08-21,,
313,KALGIN ISLAND,21187,,-151.91667,60.45,30.0,1988-01-06,2017-12-20,1988-01-06,1988-02-29
314,KALSKAG AP,33568,PALG,-160.34138,61.53639,55.0,2025-01-09,2025-03-16,,
315,KALTAG AIRPORT,20921,PAKV,-158.7326,64.3208,173.0,1944-06-01,2025-03-16,1944-06-01,1944-10-31
316,KALUICH ALASKA,82896,,-158.4317,67.5733,2486.0,2012-09-04,2025-03-16,,
317,KANTISHNA,77635,,-150.99001,63.54,1550.0,2005-07-28,2025-03-15,,
318,KANUTI NWR ALASKA,65732,,-152.17,66.0933,825.0,1990-08-06,2025-03-16,,
319,KASILOF 3 NW,20640,,-151.37398,60.36516,70.0,1925-11-01,1997-10-31,1925-11-13,1997-10-31
320,KAVET CREEK ALASKA,65733,,-159.04359,67.1386,235.0,1992-06-16,2025-03-15,,
321,KELLY ALASKA,65734,,-162.3,67.9333,412.0,1990-04-23,2025-03-16,,
322,KELLY STATION,77644,,-162.28,67.93,310.0,2011-07-22,2025-03-15,,
323,KENAI 29 ENE,61825,,-150.44839,60.7237,282.0,2010-08-31,2025-03-17,,
324,KENAI 9N,21137,,-151.32278,60.66917,126.0,1983-07-01,2007-04-30,1983-07-01,2007-04-30
325,KENAI AIRPORT,20662,PAEN,-151.24152,60.57909,99.0,1899-05-01,2025-03-16,1899-05-01,1999-12-06
326,KENAI LAKE ALASKA,65739,,-149.39999,60.3667,475.0,1989-09-25,2025-03-16,,
327,KENAI MOOSE PENS,77629,,-150.48,60.73,300.0,1994-02-22,2025-03-15,,
328,KENAI NWR ALASKA,65735,,-150.3167,60.5917,400.0,1988-06-30,2025-03-16,,
329,KENNY LAKE 7SE,31091,,-144.76331,61.6797,1240.0,2000-05-01,2012-03-31,2000-05-01,2012-03-26
330,KETCHIKAN 10N,83198,,-131.8183,55.4519,295.0,2007-08-27,2025-03-17,2007-11-28,2025-03-17
331,KETCHIKAN 14N,31210,,-131.80556,55.465,205.0,2001-05-01,2007-08-23,2001-05-01,2006-10-31
332,KETCHIKAN AIRPORT,31833,PAKT,-131.72195,55.3586,84.0,1910-09-01,2025-03-16,1910-11-08,2024-11-03
333,KETCHIKAN CARLANNA CREEK,20475,,-131.7,55.35,330.0,1940-02-02,2017-12-19,1940-02-01,1941-08-31
334,KEYSTONE RIDGE,28833,,-148.2711,64.9156,1600.0,1996-08-01,2025-03-11,1996-08-01,2025-03-11
335,KIANA ALASKA,65736,,-160.4375,66.9767,150.0,1988-04-19,2025-03-16,,
336,KILBUCK ALASKA,65737,,-160.2,60.32,1910.0,1991-07-15,2024-07-15,,
337,KILLIK PASS ALASKA,82766,,-154.92419,67.9703,3000.0,2012-09-04,2024-09-15,,
338,KING SALMON 42 SE,67799,,-155.9225,58.2077,661.0,2012-08-18,2025-03-17,,
339,KING SALMON AIRPORT,29840,PAKN,-156.65634,58.68294,66.0,1917-06-14,2025-03-16,1917-07-01,2020-04-30
340,KITOI BAY,20551,,-152.37219,58.1913,60.0,1954-11-01,2025-02-28,1954-11-01,2025-02-28
341,KIVALINA AIRPORT,30970,PAVL,-164.54788,67.7306,19.0,1998-07-06,2025-03-16,,
342,KLAWASI ALASKA,65738,,-144.9281,62.1472,3100.0,1991-06-25,2025-03-16,,
343,KLAWOCK AIRPORT,30949,PAKW,-133.07468,55.58191,68.0,1997-07-01,2025-03-16,,
344,KLAWOCK WATER PLANT,94429,,-133.0647,55.55158,88.0,2019-11-14,2025-03-17,2019-11-14,2025-03-17
345,KOBE HILL,29442,,-149.4314,64.19417,800.0,2000-05-01,2012-02-29,2000-05-01,2012-02-29
346,KODIAK AIRPORT,29842,PADQ,-152.4881,57.75071,16.0,1931-01-01,2025-03-16,1931-01-01,2020-11-29
347,KODIAK WWTP,32422,,-152.35609,57.8048,54.0,2005-08-01,2025-02-28,2005-08-01,2025-02-28
348,KOTZEBUE 25 N,21135,,-162.8,67.25,30.0,1982-11-01,1995-05-31,1982-11-01,1995-05-31
349,KOTZEBUE AIRPORT,21029,PAOT,-162.6068,66.88569,11.0,1897-09-12,2025-03-16,1903-06-03,2020-05-26
350,KOYUK,21192,,-161.14999,64.93333,60.0,1988-11-01,2017-12-20,1988-11-01,1990-01-31
351,KOYUKUK NWR ALASKA,65740,,-157.57001,66.0083,100.0,1990-07-16,2025-03-16,,
352,KUPARUK,21139,,-149.6114,70.3289,64.0,1983-02-01,2025-01-31,1983-02-01,2025-01-31
353,KWETHLUK,106227,PFKW,-161.45,60.78333,25.0,2018-02-04,2025-03-15,,
354,King Salmon Area,32640,,,,,1917-06-14,2025-03-16,1917-07-01,2020-04-30
355,Kodiak Area,32637,,,,,1913-09-01,2025-03-16,1913-10-17,2020-11-29
356,Kotzebue Area,32822,,,,,1902-08-01,2025-03-16,1903-06-03,2020-05-26
357,LAKE MINCHUMINA ALASKA,65747,,-152.31059,63.8933,740.0,1992-06-22,2025-03-16,,
358,LAKE SUSITNA,21205,,-146.67889,62.45278,2375.0,1990-05-01,2003-12-31,1990-05-01,2003-12-31
359,LARSEN BAY,20530,,-153.96667,57.53333,18.0,1939-09-20,1993-11-30,1939-10-01,1993-11-30
360,LAZY MOUNTAIN,21161,,-149.0365,61.6266,733.0,1984-09-01,2025-03-03,1984-09-01,2025-03-03
361,LITTLE BLACK ALASKA,65743,,-143.3672,66.0914,1241.0,2003-07-29,2020-12-04,,
362,LITTLE CHENA #2,28892,,-147.32028,64.88722,550.0,2006-11-04,2007-09-03,1996-12-01,2007-09-03
363,LITTLE CHENA RIDGE,77606,,-146.73,65.12,2000.0,1981-09-30,2025-03-15,,
364,LITTLE PORT WALTER,20498,,-134.6497,56.383,14.0,1936-07-11,2025-03-17,1936-10-01,2025-03-17
365,LITTLE SU AT HATCHER PASS BRIDGE,20778,,-149.2316,61.7102,902.0,2006-06-29,2025-02-27,2006-10-26,2025-01-31
366,LIVENGOOD ALASKA,65746,,-148.72169,65.4236,450.0,1998-08-20,2025-03-16,,
367,LIVENGOOD DOT,20993,,-148.5497,65.5225,649.0,1933-07-04,2006-06-11,1933-09-01,2006-06-11
368,LONG LAKE,77588,,-133.83,58.19,850.0,1999-10-07,2025-03-15,,
369,LOST CREEK ALASKA,65748,,-147.97141,66.0425,700.0,2003-07-29,2023-09-15,,
370,MAIN BAY,21136,,-148.09309,60.5181,57.0,1982-10-02,2025-02-28,1982-10-01,2025-02-28
371,MANCHU ALASKA,83021,,-147.01669,64.7,671.0,2004-12-05,2025-03-16,,
372,MANKOMEN LAKE,20862,,-144.47917,62.98611,3025.0,1965-07-01,2008-12-11,1965-07-01,2008-12-11
373,MANLEY HOT SPRINGS,20967,PAML,-150.638,64.9988,272.0,1909-07-01,2014-03-31,1908-10-01,2014-03-31
374,MANLEY HOT SPRINGS 15NE,93827,,-150.22771,65.1225,501.0,2016-06-16,2023-12-01,2016-06-01,2023-12-01
375,MANLEY HOT SPRINGS DOT,33701,,-150.6127,65.0074,345.0,2015-09-23,2019-07-15,,
376,MATANUSKA EXPERIMENTAL FARM,20753,,-149.2541,61.5663,172.0,1917-07-04,2025-02-28,1917-07-04,2025-02-28
377,MAY CREEK,77591,,-142.71001,61.35,1610.0,2007-07-18,2025-03-15,,
378,MAY CREEK ALASKA,65749,,-142.5844,61.3208,1600.0,1990-05-25,2023-12-30,,
379,MC GRATH ON KUSKOKWIM RIV,20864,,-155.59029,62.95833,300.0,1941-06-01,2017-11-03,1941-02-01,2008-05-11
380,MCCARTHY 3 SW,21140,,-142.99609,61.418,1250.0,1984-01-01,2017-12-20,1984-01-01,2017-09-25
381,MCGRATH AP,20865,PAMC,-155.61009,62.9574,331.0,1941-06-01,2025-03-16,1939-04-01,2024-11-19
382,MCKINLEY PARK,29604,,-148.96919,63.7175,2070.0,1923-01-01,2025-03-16,1923-01-01,2025-03-16
383,MCKINLEY RIVER ALASKA,65750,,-151.63969,63.6492,840.0,1990-06-15,2025-03-16,,
384,MCNEIL CANYON,77639,,-151.25,59.74,1320.0,1999-10-21,2025-03-15,,
385,MCNEIL RIVER SGS,77643,,-154.28,59.08,140.0,2012-06-27,2025-03-15,,
386,MEADOW LAKES,33545,,-149.565,61.57778,353.0,2006-11-14,2008-04-08,2006-11-14,2008-04-08
387,MEKORYUK,29833,PAMY,-166.2,60.38333,45.0,1923-09-06,2025-03-16,1923-09-24,1987-07-31
388,MENTASTA LAKE 7E - BARTELL CREEK,34832,,-143.5741,62.933,2364.0,2009-01-01,2014-08-13,2009-01-01,2014-08-13
389,METLAKATLA 6 S,67801,,-131.58771,55.0455,105.0,2012-07-27,2025-03-17,,
390,METLAKATLA POWER,94432,,-131.59007,55.08563,56.0,2019-11-10,2025-03-10,2019-11-09,2025-03-10
391,MEYERS CHUCK,34609,,-133.255,55.73944,20.0,2005-08-15,2011-11-23,2005-08-15,2011-12-31
392,MIDDLE FORK BRADLEY,77626,,-150.75999,59.78,2300.0,1991-10-02,2025-03-12,,
393,MIDDLETON ISLAND,29836,PAMD,-146.33333,59.43333,100.0,1942-12-01,2025-03-16,1942-12-01,1963-06-01
394,MILE 101 STEESE,21186,,-145.33333,65.51667,2270.0,1987-11-01,1990-05-31,1987-11-01,1990-05-31
395,MILE 39 STEESE,21188,,-147.25417,65.19056,750.0,1998-02-01,2012-04-09,1998-02-01,2010-01-09
396,MILE 42 STEESE,21189,,-147.16667,65.22222,960.0,1996-08-01,2013-09-10,1996-08-01,2013-09-04
397,MILE 50 - KANDIK RIVER,62481,,-141.52049,65.5663,1230.0,2011-07-29,2014-06-26,2011-09-06,2013-11-06
398,MINCHUMINA,29824,PAMH,-152.2816,63.9033,1025.0,1945-01-01,2025-01-31,1945-01-01,2025-01-31
399,MINCHUMINA AIRPORT,40856,PAMH,-152.30194,63.88611,678.0,2000-01-22,2025-03-16,2002-09-11,2003-04-03
400,MINERAL LAKES,28835,,-143.37833,62.945,2098.0,1996-08-01,1999-10-31,1996-08-01,1999-10-31
401,MIRROR LAKE SCOUT CAMP,21169,,-149.4075,61.42528,405.0,1985-11-01,2004-05-11,1985-11-01,2004-04-30
402,MONAHAN FLAT,77608,,-147.64999,63.31,2710.0,2002-07-15,2025-03-15,,
403,MONASHKA CREEK DAM,31947,,-152.4585,57.8426,130.0,1909-11-10,2025-02-28,1909-09-01,2014-08-31
404,MONTANA CREEK,20821,,-150.05888,62.10444,245.0,1963-06-03,2017-12-20,1963-06-01,1981-09-30
405,MONTANA CREEK DOT,31878,,-146.0864,65.36,2300.0,2004-11-02,2019-07-15,2004-11-02,2006-05-31
406,MONUMENT CREEK,77600,,-145.87,65.08,1850.0,1982-06-10,2025-03-15,,
407,MOORE CREEK BRIDGE,77589,,-135.21001,59.59,2250.0,2004-10-06,2025-03-15,,
408,MOOSE MOUNTAIN,29445,,-147.93723,64.91944,855.0,2013-06-11,2017-12-20,1999-07-01,1999-07-31
409,MOOSE PASS 3NW,20647,,-149.4261,60.5029,492.0,1941-07-29,2023-11-30,1941-08-01,2023-12-31
410,MORAINE,77611,,-149.0,61.38,2100.0,2002-07-31,2025-03-15,,
411,MOTHER GOOSE ALASKA,82922,,-157.278,57.1792,175.0,2004-03-24,2025-03-16,,
412,MOUNTAIN VILLAGE AP,20824,PAMO,-163.68195,62.09528,337.0,2017-11-29,2025-03-16,,
413,MT. ALYESKA,77614,,-149.09,60.96,1540.0,2001-08-15,2025-03-15,,
414,MT. EYAK,77594,,-145.75,60.55,1405.0,2005-09-08,2025-03-15,,
415,MT. NOAK ALASKA,82786,,-162.9944,67.1414,809.0,2011-09-30,2025-03-16,,
416,MT. RYAN,77605,,-146.14999,65.25,2800.0,1981-09-30,2025-03-15,,
417,MUNSON RIDGE,77604,,-146.21001,64.85,3100.0,1982-06-11,2025-03-15,,
418,Mcgrath Area,32790,,,,,1941-06-01,2025-03-16,1939-04-01,2024-11-19
419,NABESNA,20841,,-142.9966,62.3977,2920.0,1966-10-01,2014-08-31,1966-10-01,2014-08-31
420,NANCY LAKE,31184,,-149.97501,61.68306,233.0,2001-03-01,2007-04-30,2001-03-01,2007-04-30
421,NANWALEK,31255,,-151.92111,59.35556,45.0,2002-11-01,2003-10-30,2002-11-01,2003-10-30
422,NAPAKIAK,106218,PANA,-161.98334,60.68333,17.0,2018-02-04,2025-03-15,,
